,geo_id,nonfamily_households,family_households,median_year_structure_built,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,median_rent,percent_income_spent_on_rent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,married_households,occupied_housing_units,housing_units_renter_occupied,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_61,male_62_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,civilian_labor_force,employed_pop,unemployed_pop,not_in_labor_force,pop_16_over,pop_in_labor_force,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,bachelors_degree_2,bachelors_degree_or_higher_25_64,children,children_in_single_female_hh,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,different_house_year_ago_different_city,different_house_year_ago_same_city,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,female_female_households,four_more_cars,gini_index,graduate_professional_degree,group_quarters,high_school_including_ged,households_public_asst_or_food_stamps,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,less_than_high_school_graduate,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,male_male_households,management_business_sci_arts_employed,no_car,no_cars,not_us_citizen_pop,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,one_car,two_cars,three_cars,pop_25_64,pop_determined_poverty_status,population_1_year_and_over,population_3_years_over,poverty,sales_office_employed,some_college_and_associates_degree,walked_to_work,worked_at_home,workers_16_and_over,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,pop_25_years_over,commute_35_44_mins,commute_60_more_mins,commute_less_10_mins,commuters_16_over,hispanic_any_race,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,do_date
0,48245,33239,61504,1974,3205,6870,3145,2095,3699,2988,4908,4611,3979,2521,254308,130017,124291,35.8,106562,85255,8316,49660,314,81,3978,204648,,94743,48005,25062,108130,13387,2046,1210,660,27.3,56722,0,23155,20080,12751,7191,5372,72,116,7329,1837,1390,23589,18387,20983,3451,12288,1962,2016865,7573,5464,6229,6113,5191,5165,3854,4392,4949,7294,10193,11302,7256,3770,3292,2706,810,60900,101000,172500,41352,94743,38021,75949,2326,2681,2535,7737,8109,2176,2769,3702,1182,4574,3739,8980,9018,7695,4679,3164,1459,2369,6494,10553,10374,9081,8541,8252,8660,8265,3055,4467,2696,3099,3316,2247,1735,1818,8436,8732,7899,5024,3253,1211,2171,5054,8577,8204,8365,6240,7086,8521,9091,3042,3874,2359,3117,4963,3733,2644,2695,148271,86891,1053,8316,11884,757,1377,4865,769,14764,153,112827,106495,6332,87945,200925,112980,494,538,5634,4953,3180,1929,7600,8422,21362,24344,60463,20569,,,,,,19085,18150,1423,10007,11640,23614,4160,863,13906,5936,5367,12781,9794,4562,2442,108,4827,0.4679,10645,16242,56078,14398,13637,11828,11588,58229,10625,27358,2570,3351,1324,2797,3186,12095,7376,32699,0,29857,2725,7084,19071,29857,15121,16696,25892,18929,36867,34686,11279,134248,237940,251116,244267,38287,25892,53227,,,,12722,21362,46819,9723,8262,30782,168670,,,,,,,,,,2015
1,13179,7161,15121,1991,458,3346,1557,692,1125,1375,1383,670,801,344,62467,32911,29556,28.1,25460,24584,1471,7791,278,450,2164,54676,,22282,36573,18011,27372,5090,1860,863,782,34.8,10531,0,6833,6994,4441,1086,3153,202,0,2553,596,295,5028,4406,3934,831,2427,1124,561700,2325,1832,1220,1297,2013,1862,1507,1546,922,1931,1663,2435,723,364,485,157,938,89800,118300,163700,9546,22282,11751,15729,546,1074,3540,1156,793,407,377,3595,0,814,251,3875,2019,2371,1075,1817,484,771,2786,4109,2377,1366,2302,1722,1177,1425,671,415,336,484,818,280,174,57,2795,2159,2179,837,582,398,508,2363,2992,2276,1729,1664,1416,1892,1675,587,636,514,841,680,460,182,191,30295,25600,553,1611,3061,332,943,1936,237,4622,5710,24111,20848,3263,16575,46396,29821,,,1339,1178,188,164,1124,1089,4392,5658,17310,5808,,,,,,15029,4146,,,,,,,,,,,,,,0,1301,0.4283,1784,2116,11744,4125,3039,3096,3746,17196,4592,3572,403,282,412,374,465,1823,1651,5410,0,4618,1060,1540,1674,,,,,,8453,8777,2211,30431,60234,61100,58167,13944,5158,13956,,,,3258,4392,9514,3121,1329,7577,35448,,,,,,,,,,2015
2,12113,16268,44593,1993,1082,2224,1103,1271,1757,2798,3370,2581,1227,581,167040,85690,81350,40.2,137624,7902,3159,9000,488,144,8452,158040,,60861,59682,28243,68580,7719,1622,463,809,26.2,42867,371,27911,10986,7310,4763,2390,89,68,3676,221,221,7047,8364,9289,5517,13240,9083,1951195,3045,2017,2735,3471,1749,2753,3047,2099,2622,7076,6487,9569,6170,2302,3315,2404,1027,106700,169200,261800,35419,60861,17994,51192,516,773,2422,1895,1102,456,969,9081,825,2301,986,3852,5728,5122,3401,1946,553,965,4396,5547,6327,5576,6005,6463,7163,5430,3039,2804,1781,1935,3480,2347,978,852,4891,4028,6686,2946,1480,758,528,3082,5181,5323,4860,5399,5462,6218,6763,2487,2073,1814,2767,3500,2155,1694,1255,141407,8081,601,3159,6878,1861,2550,3262,1621,17353,2514,77362,72424,4938,54155,134031,79876,,,,,,,10470,9480,22442,26225,36654,7445,,,,,,33087,3527,676,7478,6888,13485,5580,1567,4045,6037,6135,7762,7736,4138,897,608,3061,0.4218,10180,6729,29938,8603,7869,8808,9580,39784,8094,12947,3034,4687,1992,343,1497,6519,6827,24899,0,26412,1862,2299,2919,26412,9314,6692,18072,11934,16134,28612,10755,92120,160047,165793,161914,20921,18072,41171,,,,13628,22442,24725,10271,6692,17272,116678,,,,,,,,,,2015
3,13151,13870,57811,1998,1044,4388,1674,943,1647,1854,3164,3153,1605,318,217739,103330,114409,36.5,101757,89254,6668,14093,0,756,5211,203646,774,71681,65342,25369,78484,6803,1374,803,868,28.1,51891,78,40642,14815,9752,5251,3920,581,0,5063,1226,1226,10374,11720,10767,5071,13979,10120,2908650,3513,2199,1398,4063,2503,2955,3684,4629,2187,5160,9569,12504,8875,2767,3301,2374,1055,111300,153300,230300,43038,71681,19790,64471,1502,666,1387,1628,1670,3866,338,2956,0,1114,434,6097,8572,7695,6930,2974,2701,1000,4704,5050,5573,6658,7540,8291,7986,7558,947,2789,2233,2050,2736,1637,838,771,6043,8348,8584,5720,3014,1411,2110,3986,7075,6452,6824,10356,9221,8536,7113,2899,3532,1833,3131,3203,2336,1357,1325,109928,89920,0,6668,3925,3877,4331,10402,3521,17034,171,104900,97169,7731,64503,169574,105071,,,6493,3871,831,212,8315,6727,25909,33520,57989,14983,,,,,,25548,627,50,8175,4749,20001,5944,2628,8258,3322,6169,10442,13499,10549,3383,225,7052,0.3826,13188,,41744,9801,13862,13193,16056,62948,11148,13750,2386,4813,1682,986,2589,9378,5737,27571,0,32592,902,2174,8296,32592,9818,14271,26138,14350,18347,31538,12570,114400,216492,216263,210723,20648,26138,43259,,,,12443,25909,35229,7523,10905,23293,137850,,,,,,,,,,2015
4,40101,9022,16416,1975,1040,1526,849,844,866,528,773,452,1175,331,69699,34377,35322,38,39669,7562,517,4185,12356,98,5312,65514,,25438,41016,22500,30897,5459,712,742,484,32.4,17054,68,9379,5031,3174,1402,1598,151,23,1857,241,241,5848,4175,2524,1003,2021,1058,486670,2904,2100,1914,1629,1008,2039,828,1305,1112,1585,2824,2392,1982,533,706,577,667,65700,97800,164400,11327,25438,8384,23802,190,368,592,846,877,490,735,2852,163,375,1895,2681,2707,2532,1281,1127,449,504,1561,2091,1935,2340,1957,1899,2113,2250,766,1214,775,869,1572,898,560,296,1802,2396,2062,1627,965,369,414,1327,2204,2190,2125,2151,2041,2474,2478,866,1383,595,1193,1668,1219,776,997,41098,8036,12409,517,5097,796,693,938,273,4871,0,27807,26206,1601,26447,54254,27807,,,505,477,,,2662,2882,6147,5760,17088,5069,,,,,,8778,5264,194,2416,1878,7391,1008,186,3414,861,1717,2709,1660,1779,993,0,1344,0.4937,2060,3704,15416,5395,3567,3827,3841,16945,2667,8139,713,671,546,123,1093,3372,1724,8242,0,7337,1165,2375,1510,7337,3479,3445,6778,5167,8828,9438,3453,34477,65903,68874,67238,14024,6778,14133,,,,4077,6147,12869,3897,1573,6159,45895,,,,,,,,,,2015
5,51740,15456,21198,1965,1006,4356,2155,1218,938,2134,1986,1746,1020,591,96201,45900,50301,33.6,37478,50038,530,3896,471,367,3421,92305,,36654,49242,22707,41143,4489,1921,556,794,33.2,19504,36,14232,8284,3310,1435,1875,0,0,4974,350,350,6284,7874,7140,3506,5398,2260,964325,2539,2689,2804,2335,1615,1519,1458,2047,1529,4682,4018,4234,2742,1125,728,590,990,123800,162300,220000,12451,36654,17150,24573,2737,1942,2601,4693,1835,889,1663,210,155,763,4218,3556,3255,2776,1858,907,1228,626,2386,4646,3667,2288,2733,2404,2824,2693,1032,1685,520,1064,1638,621,743,750,3860,2789,3186,1780,1660,704,647,2373,3973,3687,2873,2684,2698,3099,2722,1423,2239,800,1397,1927,1712,734,1334,39779,50543,471,530,2976,700,972,1498,815,8742,2963,46413,40093,6320,25952,75328,49376,,,2641,2464,,,2349,2500,9483,11948,23060,9893,,,,,,10297,6914,456,3099,2959,10431,1523,520,4105,1911,3886,4919,3575,2262,447,238,1376,0.4115,5263,3253,17261,5444,4489,4995,4825,23896,5052,9321,934,1457,596,240,1335,3498,2578,10638,47,12064,1339,3688,823,12064,4354,6181,10005,7489,14238,13236,4116,49370,92722,94248,91121,16687,10005,21282,,,,6194,9483,13811,3349,4070,11739,62610,,,,,,,,,,2015
6,48187,11231,39633,1995,864,2216,341,864,453,1224,2393,2883,1338,429,151249,74779,76470,36.7,77749,10620,2338,56499,140,172,3731,94750,,50864,64343,27371,55019,4155,815,1052,831,23,37859,168,22836,12242,7438,4161,2425,852,0,4804,1655,1174,9602,11288,9910,3103,9289,6652,1731795,2987,956,2452,2694,1327,1525,2282,2562,2742,3434,6185,7069,5930,3443,3804,1472,996,91700,173900,246700,29745,50864,13005,41077,529,614,1235,1746,673,605,366,8115,1525,5408,962,5057,5536,6087,3666,2286,1021,993,2323,4732,4984,4748,5668,4957,5448,4735,1138,2347,1296,2568,1680,1479,1023,1007,4682,5061,5686,3639,2260,836,501,3152,4309,5100,4839,5425,5847,5338,5776,1107,2218,1426,1983,2591,1955,1502,1237,99389,11383,526,2465,6957,2012,3410,3683,1109,13223,687,73048,70959,2089,42810,116545,73735,,,1027,728,3281,2309,5716,5059,16076,22813,39414,9884,,,,,,13635,3605,1766,6486,3341,14797,3436,1193,8250,4046,5899,9448,5646,4082,2569,0,4296,0.3967,10612,2019,28919,4725,7533,9681,10779,41796,7462,11680,1910,2969,2779,739,1051,5135,4042,18625,154,22902,242,1509,5082,22902,8064,10945,17134,11914,14894,20413,9752,78716,149200,149926,145606,16043,17134,31176,,,,8335,16076,22976,11793,9164,11048,98463,,,,,,,,,,2015
7,48329,17273,39007,1982,941,3086,800,1291,1865,1787,2058,2488,1453,985,161077,80508,80569,31.5,75983,8932,2715,70314,272,7,2796,90763,,56280,81064,38068,59512,3232,,,1062,27.6,39526,475,22316,15484,10274,3895,6163,216,0,5210,952,952,20777,17260,11907,3314,7071,2687,1564145,2201,1609,1296,1534,1700,2192,2435,2247,2248,3539,5566,7443,6917,3915,5483,5955,1196,115200,198000,302700,30269,56280,16754,39973,1648,1131,1513,3909,3849,1164,1204,4971,222,5089,2287,7001,6114,5721,3525,1846,1856,1381,3456,7547,7207,4510,5684,4048,4841,4771,1862,2161,1354,1530,1673,1001,911,508,6354,6207,6248,3577,2104,1341,1453,3222,6643,6336,5410,4234,4316,4766,5173,2166,2262,1213,1108,1946,2041,860,1589,138827,9055,485,2763,10215,690,436,2388,1384,6930,31,85926,82300,3626,34371,120328,85957,,,518,549,3617,2373,4558,5800,18570,21208,44747,8695,,,,,,15326,12515,17234,6622,5290,15047,3666,575,3918,4847,1663,8204,6357,6546,2331,329,4994,0.46,7711,1923,25636,4168,10982,9050,9005,40294,5584,14498,1405,2975,1191,1193,1432,5338,4149,17683,0,26484,1175,2791,11515,26484,14164,9159,20552,11941,14948,22938,10609,83937,159363,157004,151703,10789,20552,33256,,,,8110,18570,20456,6044,5162,19102,99671,,,,,,,,,,2015
8,12091,27435,49286,1987,2493,6323,3438,2457,2516,2927,4713,3591,1916,486,198664,101303,97361,36.6,147620,21131,5016,17175,307,244,7171,181489,,76721,55659,28796,95502,18781,1772,1249,849,31.1,45861,529,27157,14808,9697,4371,5224,0,102,5111,1435,1435,14677,14525,13816,5643,11578,6337,2121605,3868,2197,4636,4226,3566,4224,3436,4208,3247,7979,8738,10666,6596,3308,3031,2795,1066,130800,204200,299100,38094,76721,30860,57728,4381,1987,3637,4626,2992,3761,9555,6481,666,6337,959,7170,6663,5370,3480,2606,2374,877,5148,8931,8565,7186,3920,5993,6763,6689,2755,2697,2444,3346,2885,2707,1841,893,6334,5597,6076,3301,1755,813,1301,3855,8242,6951,6501,4310,5966,6941,6058,2709,3900,2124,3100,4069,3229,2029,2200,158059,21964,307,5259,10343,1815,2447,3809,1650,22121,8739,93795,86756,7039,56498,159032,102534,,,1805,988,269,355,10181,10066,27103,32473,43991,8549,,,,,,36494,6901,289,14203,5683,14483,5043,732,3488,6205,8912,11577,11158,3463,1520,289,2486,0.4268,13539,5450,32869,6906,10703,8863,9411,45881,11024,11577,3555,4739,3482,423,1433,4811,6454,24897,0,32888,2348,4584,5748,32888,6760,7080,19034,20994,24571,35535,9545,105077,193239,196356,189642,20989,19034,50856,,,,15223,27103,27052,9635,10844,25998,135944,,,,,,,,,,2015
9,13097,13374,35119,1992,803,4190,1860,759,1822,1517,2822,2212,813,832,140733,68701,72032,36.7,61248,61865,2343,12747,0,212,2318,127986,,48493,59329,23454,52019,3526,628,1102,780,30.6,30863,0,21198,10709,7186,4857,2329,0,0,3523,547,255,5885,6101,7394,4567,9592,8249,2033805,2630,2138,2556,1910,1921,3098,1924,1231,2027,5135,7425,6309,5037,1982,2279,891,954,88700,133300,194300,24610,48493,17630,38997,2750,536,1143,1386,2080,2675,570,1882,245,1197,776,5610,4626,6250,4491,2458,583,827,2551,4424,3840,3842,5780,4802,4710,4518,1632,1405,1121,872,2193,1060,494,612,3816,5014,5490,2242,1961,440,1311,3118,4029,4905,6079,5454,5671,5162,5239,1728,1714,2244,1545,1834,1316,799,921,66598,62311,51,2403,2849,2508,3131,6630,2771,6970,0,71374,65067,6307,36084,107458,71374,,,4162,2424,420,331,4757,4629,17894,25268,37539,9718,,,,,,20825,1323,810,5553,4940,13673,2697,1975,5776,2920,3245,8329,7040,6032,2077,182,4032,0.3883,10501,1238,26040,7806,7961,9583,9529,44007,8842,9743,955,3412,1734,399,935,5997,3635,17067,134,23448,978,2186,6002,23448,6186,11340,13127,10966,14871,18488,8916,74934,139356,138069,134873,20097,13127,25767,,,,4238,17894,21411,6282,8091,15247,89945,,,,,,,,,,2015
10,16027,22612,45608,1992,2300,3453,2067,1720,1741,2163,2634,1967,2151,613,207478,102708,104770,33.7,147204,563,1607,51369,1123,53,5059,156109,384,68220,42786,19011,72286,4066,882,501,623,29.4,47411,80,33090,17656,11456,4972,5977,131,376,6200,658,474,12841,11910,10236,4139,11455,8085,1902850,4853,4645,4151,2998,5121,5385,5041,2852,3875,6201,7074,7485,5115,1084,1576,764,721,105600,149200,226500,34195,68220,20809,56726,2368,1427,2219,1534,660,780,634,5913,356,2261,2864,7812,8596,9679,5308,2659,974,679,5488,6193,6540,5289,7868,6258,5976,5133,3570,2546,956,3254,3215,2884,876,955,7805,8534,8911,4891,2465,1430,1971,3728,6781,6713,7123,6355,6054,6274,5965,2366,2903,1623,3275,3936,2562,948,2157,182834,563,3024,1607,9220,3748,3140,2663,583,15156,369,95047,87152,7895,57215,152631,95416,,,,,2579,1787,8929,8731,15028,16961,61536,12872,,,,,,20571,13379,5253,6524,6306,18530,3908,1429,10913,4962,3870,11953,7897,3124,2483,63,7537,0.412,6389,3293,44447,12310,13745,15189,12696,56962,9635,19160,2238,3594,1218,2009,1848,8214,4362,23483,677,22701,1069,2638,11072,22701,13607,11874,21682,17288,21590,25045,11410,99907,203763,204727,198119,32036,21682,41524,,,,9810,15028,33059,11238,4451,20476,126548,,,,,,,,,,2015
11,48441,17786,31148,1972,1446,3879,1858,1173,1426,2498,2366,3483,1175,1103,136051,66590,69461,32.1,87869,9904,2100,32538,559,59,3022,103513,235,48934,48636,25317,56931,7997,877,928,611,27.7,28527,96,14673,11760,6844,3642,3146,56,0,4916,1153,1153,17661,15995,6684,1622,3141,622,954840,2852,2617,3344,2979,2637,3398,2758,3034,1304,4674,4979,5382,4083,1970,1397,1526,809,66300,114300,173000,21897,48934,20407,40940,1734,1861,2092,2404,2901,568,1297,3134,386,2359,3388,4894,4615,5030,2587,2678,1376,1243,4925,4981,4803,4006,3086,3246,3837,4507,1090,1601,1264,823,2619,1234,1030,1115,4868,4564,4451,2681,2640,2461,966,3838,4983,4495,3721,3664,3318,4058,4291,1399,2192,1262,1350,2953,1103,2406,1797,104669,10296,759,2100,13003,143,642,575,674,8169,4189,65237,62445,2792,36643,106069,69426,,,535,526,1481,1111,4938,5295,12612,14312,33690,9742,,,,,,12429,15578,1136,7131,3562,19189,3643,580,3278,3562,3678,7389,4005,3905,1387,110,2568,0.4616,6164,6767,25202,7504,7054,7115,7235,39207,12372,9007,1652,2347,924,922,730,4678,3028,14281,47,19084,981,2608,4426,19084,6395,8200,14791,13975,17674,20389,5695,63278,130125,134002,130083,18680,14791,29249,,,,7812,12612,17819,6373,4247,15064,82234,,,,,,,,,,2015
12,18127,18183,44241,1980,1131,4180,1142,612,1432,1397,2080,1848,1118,769,167688,81855,85833,39,140071,4373,2468,16286,176,206,3659,151402,,62424,63807,30508,67392,4968,544,1270,744,30.3,46715,85,32372,10825,6957,3340,3573,44,0,3868,867,611,9293,9364,9777,4193,11129,5358,1916910,3246,2568,3238,1809,2299,2853,3296,3922,1677,4433,6220,9720,7568,2899,3703,2973,884,126800,174700,257900,33836,62424,15709,49927,3600,1631,1557,3372,2553,621,750,3381,284,850,2271,4400,5111,6118,3935,2886,898,1587,3609,4527,4793,5238,5727,5659,5361,6071,1561,3263,1674,2602,2969,1439,1452,975,4693,5615,4906,3297,2094,913,1196,3452,4926,5331,6536,5189,5749,5826,6950,2046,3192,1943,2355,3585,2157,1863,2019,152922,5128,176,2468,8559,2928,3529,4276,1831,13612,76,81652,76412,5240,52625,134353,81728,,,,,805,271,9841,10624,18629,25208,38075,8417,,,,,,18719,4888,228,5206,4815,19880,3036,687,13947,2954,2652,8669,8018,4797,1523,55,4159,0.4337,12190,3607,39517,6091,8230,9318,9708,43639,9624,9039,1108,3898,2481,63,940,8829,4596,21915,0,27053,668,2930,2105,27053,8417,13605,16079,11258,18689,26823,9823,87945,163634,166938,162689,21697,16079,33603,,,,10061,18629,35738,6028,8321,17514,112978,,,,,,,,,,2015
13,12019,18491,53242,1993,2388,4556,989,1476,1273,2419,2738,3523,916,514,203967,99848,104119,39.6,150348,21058,6792,19485,254,570,5120,184482,,71733,58676,25820,78172,6439,592,560,833,28.1,50941,476,35298,12051,7398,4359,2613,426,0,4653,1161,875,7558,9433,11143,4326,14084,12866,2675560,4008,2477,3645,3786,3136,2509,2229,3742,3197,8136,9216,9979,6543,4016,3195,1919,977,104600,166900,248000,41293,71733,20792,55086,2343,572,2103,3176,1069,1122,361,12340,296,3989,446,6206,6246,8329,4205,2617,1030,1609,2999,6499,6690,5656,6494,7149,7536,8026,2026,3346,1826,2919,3949,2660,1181,650,4396,7193,6645,5884,2999,1552,798,3282,5480,5954,6747,7179,6857,8939,7492,2313,3602,2278,2870,4264,2606,2830,1959,164663,21303,254,6792,5272,3229,6183,7423,1807,16099,1961,98011,87895,10116,61316,161288,99972,,,1752,1306,1280,969,11515,10578,23245,26253,49104,10612,,,,,,32550,4631,280,6212,8094,17793,6451,1755,5857,4518,5571,11104,10124,6191,3945,0,4366,0.4058,9572,1331,44542,8756,10541,12038,12880,54667,12864,13795,3689,5451,2103,184,2617,8863,5176,28083,0,27315,392,1314,5048,27315,10414,10296,23575,16295,20564,34459,11030,107985,201470,202217,196441,26152,23575,46823,,,,15575,23245,36065,9828,7916,21420,137977,,,,,,,,,,2015
14,48451,17159,27263,1976,1931,3782,2048,972,1515,1279,1856,2137,1154,871,118105,58956,59149,34.1,63690,4980,1925,45859,235,418,756,72246,,44422,48114,26484,48282,3860,1164,470,688,31.7,26877,64,13829,8953,5849,2880,2697,100,172,3104,660,660,13311,13467,5692,1860,1855,402,935700,3236,1810,2763,2879,3949,2302,2263,1634,1796,2562,6242,4980,2930,1976,988,2112,883,76000,124300,201100,19824,44422,17545,32612,1852,416,1834,1443,1676,1573,3967,2874,206,1939,2159,3761,3761,3919,2874,2523,1039,994,3583,5223,4757,3162,2708,2953,3617,3079,928,2525,1310,1594,1395,1310,1033,908,3859,4007,3792,1623,2027,595,764,3617,4466,4368,3196,3084,3108,3846,3972,1103,2148,1356,2016,1725,2135,965,1377,100919,5831,275,2000,10097,432,718,1738,1341,8130,3452,53742,52257,1485,36011,93205,57194,,,,,2349,1911,3628,4226,12505,14186,27596,7979,,,,,,12011,6109,4004,4575,3547,13368,1847,1014,2707,2528,2909,7710,4675,1718,1655,74,1873,0.4764,5305,6071,22114,3613,6480,5780,6041,29844,6402,12529,1282,2189,903,1547,1085,3722,2374,13102,0,16206,1641,3237,2823,16206,6317,7866,12931,8937,16161,17216,5935,58243,112349,116729,114266,18460,12931,22914,,,,5565,12505,17762,5201,3060,12148,75367,,,,,,,,,,2015
15,06023,22320,31233,1967,2488,7320,2615,1059,2506,1926,1716,2741,1065,308,135727,67375,68352,37.4,101400,1647,4475,15102,6352,282,6372,120625,,53553,40484,24232,62567,9014,487,226,805,36.7,29809,192,16693,8572,4573,2447,1698,388,40,3999,1296,1185,9931,7595,7328,2437,4801,1676,997085,5308,3289,2897,4007,3722,3466,3666,3378,3044,3214,4843,4860,2726,2339,1155,1639,886,201700,278400,389300,22144,53553,23744,41459,2538,2357,4855,3233,1212,525,455,5732,31,1037,6058,3518,4803,3020,1791,2170,996,1785,4461,4683,4662,4505,4363,3412,4018,4467,2161,2255,1796,2365,2428,1559,812,1345,3679,3264,4203,2239,2635,941,676,5006,3797,4556,4637,3854,3360,3838,5086,2084,2913,1632,2695,2421,1668,1090,2078,108203,1712,6951,4475,9734,388,1509,644,1074,9708,0,63773,59202,4571,48039,111812,63773,,,,,524,286,6292,7934,15653,17758,26517,6561,,,,,,,,2545,6257,4281,16634,2386,634,2317,2353,4632,9322,4423,1940,1478,78,3229,0.4833,9010,4301,20210,8632,6276,5575,5989,36390,13130,10418,1527,3195,936,451,1171,4077,4956,16313,19,20772,1299,4680,4103,20772,7194,5368,15422,10446,15838,20672,9134,68651,132191,,131679,27796,15422,35249,,,,8436,15653,18117,6287,5990,20526,90540,,,,,,,,,,2015
16,01101,33373,56730,1977,3484,11342,2462,2746,2573,4675,5070,3375,2074,981,226519,107826,118693,35.7,81258,127698,4889,7714,273,157,4446,218805,,90103,42477,25493,104005,13902,3565,2170,643,32.9,51321,242,33793,16001,7420,5038,2153,88,141,8581,2198,1592,20588,21537,17356,6404,10545,2898,1882575,8970,5611,6966,5974,4353,5783,4949,4974,3043,6407,8914,8914,5442,2796,3359,3648,825,74100,122100,197400,33300,90103,38782,72440,2814,1714,4540,8177,4455,3393,1965,4507,230,3245,4375,7640,8574,6944,4609,3473,2121,1968,4326,8554,7501,7279,6312,6237,6702,6490,2042,4312,2217,3123,2552,2255,1804,791,7087,7851,7060,4347,2675,1594,1828,5791,8867,7991,6990,8212,7230,7798,8128,2684,4685,2298,2446,4896,3341,2672,2222,86467,128205,273,4930,8741,1644,1307,1733,999,16953,1827,108644,99715,8929,68341,178812,110471,,,6606,6214,237,205,5432,5901,29246,38047,54112,25111,,,,,,16022,29675,466,11011,4309,21202,6263,1555,11244,4695,10910,12231,10913,2926,1990,88,5633,0.4938,17686,7019,37535,18439,12931,11509,11300,58931,13027,21621,1728,5602,3857,801,2361,6275,5159,25783,91,35129,2942,7029,7059,35129,5534,13465,24476,21111,35459,29628,12354,118014,219613,223714,217438,49406,24476,42543,,,,10436,29246,30664,8181,12373,23926,148631,,,,,,,,,,2015
